[Plate: ]
Time [s]: 0
  160715	  173153	  162691	  167297	  173937	  177711
  141053	  192146	      na	      na	      na	      na

Time [s]: 2040
   90427	   94101	   94489	   77900	   89656	   76729
   96709	  106045	  114317	  125194	  131226	  122835
  137729	  164231	  163206	  175808	  164503	  169330
  142885	  193382	      na	      na	      na	      na

Time [s]: 2100
   84013	   89599	  104978	   77676	   89134	   80371
  103569	  103126	  108876	  129888	  139396	  123331
  148648	  169560	  162202	  170037	  163973	  178242
  142483	  198181	      na	      na	      na	      na

Time [s]: 2160
   86400	   95536	   95730	   83815	   88324	   75207
   98573	  100290	  117703	  134431	  128449	  118812
  148202	  175746	  166085	  176593	  161057	  179836
  145765	  194298	      na	      na	      na	      na

Time [s]: 2220
   90435	   97419	  106835	   91528	   83364	   78901
  100308	  108449	  113174	  131074	  128781	  134565
  153718	  178537	  169740	  173429	  169419	  181088
  144838	  195677	      na	      na	      na	      na

Time [s]: 2280
   89468	   97758	   95198	   90049	   91487	   82716
   98288	  106393	  110732	  137858	  133315	  135331
  146407	  169942	  169249	  167995	  178081	  177945
  145187	  204505	      na	      na	      na	      na

Time [s]: 2340
   93120	   94759	   96344	   90091	   87394	   83452
  103002	  104412	  120008	  128989	  130535	  125751
  150034	  177605	  174076	  174029	  166816	  185646
  142777	  192801	      na	      na	      na	      na

Time [s]: 2400
   90400	   95260	  101978	   92687	   82185	   81447
  107475	  102504	  119271	  131795	  133253	  132245
  152514	  176967	  171790	  182013	  167817	  176740
  155817	  198783	      na	      na	      na	      na

Time [s]: 2460
   96720	   94888	   97257	   95622	  101656	   78219
  107638	  101032	  115778	  138925	  134469	  133624
  157516	  173328	  173656	  186030	  169619	  177193
  153849	  200391	      na	      na	      na	      na

Time [s]: 2520
   94707	   97456	  105120	   90457	   87627	   85338
  104508	  104533	  123242	  134687	  138397	  130146
  158188	  180198	  170709	  185752	  176404	  188411
  154856	  205046	      na	      na	      na	      na

Time [s]: 2580
   95480	   95325	   99646	   94896	   90519	   85639
  103867	  107103	  122257	  135587	  131874	  138577
  161865	  180609	  175515	  181695	  165455	  184114
  160515	  202064	      na	      na	      na	      na

Time [s]: 2640
   93901	   90079	   99516	   96928	   97461	   88259
   98504	  101601	  124568	  134876	  131006	  129966
  148368	  175612	  167228	  181455	  172601	  194947
  167625	  194938	      na	      na	      na	      na

Time [s]: 2700
   93186	   94630	  106613	  101097	  101981	   85232
  106168	  110135	  122748	  132424	  132745	  136422
  153250	  170806	  165658	  178636	  166880	  177411
  161191	  196274	      na	      na	      na	      na

Time [s]: 2760
   89469	   97337	   99144	  103406	   93917	   88558
  106309	  107749	  123581	  139843	  141314	  133943
  158046	  182957	  169477	  184364	  160245	  188941
  167309	  203579	      na	      na	      na	      na

Time [s]: 2820
   89332	  104500	  100894	   98584	   92927	   88717
  101277	  112009	  121388	  143875	  136371	  137782
  163765	  177315	  176450	  180715	  183303	  191646
  172593	  201752	      na	      na	      na	      na

Time [s]: 2880
   96249	  103670	  102610	   96907	   99219	   88170
  103107	  115464	  122857	  135919	  136802	  141784
  159185	  183138	  174005	  182189	  184556	  185634
  159434	  191896	      na	      na	      na	      na

Time [s]: 2940
   99490	   97684	   99693	  101535	   93390	   90807
  105951	  110681	  125420	  144947	  135712	  138299
  161409	  196183	  180652	  197501	  195360	  187029
  170769	  203545	      na	      na	      na	      na

Time [s]: 3000
   97088	   92565	  109716	  110510	   96649	   90898
  100894	  119469	  127873	  148964	  136229	  136147
  155686	  187820	  177265	  185349	  165403	  198197
  162393	  194715	      na	      na	      na	      na

Time [s]: 3060
   97386	  102719	  108061	  107073	   94763	   90766
  106709	  114087	  123258	  143467	  143583	  151073
  154198	  184469	  182973	  184067	  184774	  195138
  170359	  199892	      na	      na	      na	      na

Time [s]: 3120
  101054	  106669	  106459	  111024	   95816	   91839
  106250	  117235	  129203	  144671	  134056	  143509
  154668	  190144	  180300	  182330	  178413	  202568
  182742	  203034	      na	      na	      na	      na

Time [s]: 3180
  105376	  101434	  110618	  104006	  104210	   87303
  108547	  122621	  126579	  142636	  129715	  141295
  156141	  191958	  183434	  183350	  173473	  193379
  179190	  216987	      na	      na	      na	      na

Time [s]: 3240
  102397	  105780	  105124	  104706	   99894	   98297
  105966	  116456	  140877	  148847	  133344	  138545
  156298	  188003	  196170	  183426	  180255	  193516
  179024	  198133	      na	      na	      na	      na

Time [s]: 3300
  105121	  104275	  108101	  106438	  101248	   88501
  100217	  118017	  130157	  143200	  131852	  148082
  165240	  179850	  182073	  189216	  172674	  189146
  179131	  201942	      na	      na	      na	      na

Time [s]: 3360
  107690	  105010	  108002	  107313	  101105	   93497
  118278	  120328	  134254	  151085	  145384	  142792
  159322	  186470	  174276	  190243	  187496	  203406
  168030	  198401	      na	      na	      na	      na

Time [s]: 3420
  104759	  101619	  114589	  109000	   94414	   91714
  110330	  119221	  134040	  147234	  138933	  138536
  153156	  185166	  187676	  188151	  202696	  191452
  185762	  206478	      na	      na	      na	      na

Time [s]: 3480
  111689	  106334	  113103	  110527	  101173	   96724
  103930	  116457	  134491	  153621	  139912	  136576
  163410	  177957	  187436	  182389	  177641	  192926
  178172	  207033	      na	      na	      na	      na

Time [s]: 3540
   96922	  104623	  109249	  113890	  104101	   97966
  107176	  120891	  131219	  147358	  136646	  139654
  145374	  194910	  182087	  183505	  182494	  204950
  178137	  203489	      na	      na	      na	      na

Time [s]: 3600
  106458	   97916	  108998	  113312	  105871	  104164
  110477	  115688	  135920	  146238	  134528	  147058
  161289	  189722	  184312	  188572	  180960	  192247
  184296	  205116	      na	      na	      na	      na

Time [s]: 3660
  104907	  104910	  114997	  112904	  106679	   98467
  111705	  121355	  138064	  145278	  139744	  148218
  161608	  194302	  185750	  189680	  194578	  201931
  186146	  205251	      na	      na	      na	      na

Time [s]: 3720
  102910	  104529	  116431	  113834	  109227	  100687
  102055	  117089	  139269	  145337	  141252	  147916
  155907	  193402	  180640	  187841	  187344	  190704
  175248	  205974	      na	      na	      na	      na

Time [s]: 3780
  106497	  106014	  115001	  114210	  100003	   95628
  105175	  112232	  143222	  143200	  132147	  147305
  165723	  179394	  189811	  179286	  179537	  186512
  191121	  203709	      na	      na	      na	      na

Time [s]: 3840
   99647	  108277	  115355	  112175	  110404	   96326
  109941	  118373	  148727	  152566	  142570	  149441
  157860	  192069	  185666	  195167	  187720	  202248
  202959	  204183	      na	      na	      na	      na

Time [s]: 3900
